template	skill	status	reason
delivery-payload/templates/リバース検証/帳票/帳票単体テスト設計書.md	generating-report-basic-design-for-reverse-docs	mapped	帳票の単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/帳票/帳票詳細設計書.md	generating-report-detail-design-for-reverse-docs	mapped	帳票詳細設計書の生成担当
delivery-payload/templates/リバース検証/外部連携/外部連携基本設計書.md	generating-external-basic-design-for-reverse-docs	mapped	外部連携基本設計書の生成担当
delivery-payload/templates/リバース検証/外部連携/外部連携テスト設計書.md	generating-external-basic-design-for-reverse-docs	mapped	外部連携基本設計に基づくテスト設計書の生成担当
delivery-payload/templates/リバース検証/外部連携/外部連携単体テスト設計書.md	generating-external-basic-design-for-reverse-docs	mapped	外部連携の単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/外部連携/外部連携詳細設計書.md	generating-external-detail-design-for-reverse-docs	mapped	外部連携詳細設計書の生成担当
delivery-payload/templates/リバース検証/機能/機能設計書.md	generating-feature-design-for-reverse-docs	mapped	機能設計書の生成担当
delivery-payload/templates/リバース検証/機能/機能テスト設計書.md	generating-feature-design-for-reverse-docs	mapped	機能テスト設計書の生成担当
delivery-payload/templates/リバース検証/機能/機能単体テスト設計書.md	generating-feature-design-for-reverse-docs	mapped	機能単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/画面/基本設計/画面基本設計書.md	generating-reverse-basic-design	mapped	画面基本設計書の生成担当
delivery-payload/templates/リバース検証/画面/詳細設計/画面詳細設計書.md	generating-reverse-detailed-design	mapped	画面詳細設計書の生成担当
delivery-payload/templates/リバース検証/画面/詳細設計/DESIGN.md	generating-reverse-detailed-design	mapped	画面単位DESIGNの生成担当
delivery-payload/templates/リバース検証/画面/テスト設計/画面テスト設計書.md	generating-reverse-detailed-design	mapped	画面テスト設計書の生成担当
delivery-payload/templates/リバース検証/画面/テスト設計/画面単体テスト設計書.md	generating-reverse-detailed-design	mapped	画面単体テスト設計書の生成担当
delivery-payload/templates/リバース検証/画面/テスト設計/操作シナリオ仕様書.md	generating-reverse-detailed-design	mapped	操作シナリオ仕様書の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/機能要件一覧.md	generating-requirement-definitions-for-reverse-docs	mapped	機能要件一覧の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/帳票要件.md	generating-requirement-definitions-for-reverse-docs	mapped	帳票要件の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/バッチ要件.md	generating-requirement-definitions-for-reverse-docs	mapped	バッチ要件の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/外部連携要件.md	generating-requirement-definitions-for-reverse-docs	mapped	外部連携要件の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/ビジネス概要.md	generating-requirement-definitions-for-reverse-docs	mapped	ビジネス概要の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/共通設計書.md	generating-reverse-common-docs	mapped	共通設計書の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/メッセージ定義書.md	generating-reverse-common-docs	mapped	メッセージ定義書の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/DESIGN.md	generating-reverse-common-docs	mapped	共通DESIGNの生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/基盤設計.md	generating-reverse-common-docs	mapped	基盤設計の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/UI共通設計.md	generating-reverse-common-docs	mapped	UI共通設計の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/データ設計.md	generating-reverse-common-docs	mapped	データ設計の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/結合テスト仕様書.md	generating-integration-test-spec-for-reverse-docs	mapped	結合テスト仕様書の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/アーキテクチャ調査書.md	surveying-architecture-for-reverse-docs	mapped	実参照から確定した調査書の生成担当
delivery-payload/templates/リバース検証/プロジェクト共通/詳細設計記述規約.md	-	unknown	生成物ではなく検査入力としてのみ参照され、生成担当を確定できない
